Team,NbPlayoffs,ConfChamp,NbaChamp
Atlanta Hawks,5,0,0
Boston Celtics,5,0,0
Brooklyn Nets,3,0,0
Charlotte Hornets,2,0,0
Chicago Bulls,4,0,0
Cleveland Cavaliers,4,4,1
Dallas Mavericks,3,0,0
Denver Nuggets,1,0,0
Detroit Pistons,1,0,0
Golden State Warriors,6,4,3
Houston Rockets,6,0,0
Indiana Pacers,5,0,0
Los Angeles Clippers,5,0,0
Los Angeles Lakers,1,0,0
Memphis Grizzlies,5,0,0
Miami Heat,4,2,1
Milwaukee Bucks,4,0,0
Minnesota Timberwolves,1,0,0
New Orleans Pelicans,2,0,0
New York Knicks,1,0,0
Oklahoma City Thunder,5,0,0
Orlando Magic,0,0,0
Philadelphia 76ers,1,0,0
Phoenix Suns,0,0,0
Portland Trail Blazers,5,0,0
Sacramento Kings,0,0,0
San Antonio Spurs,6,2,1
Toronto Raptors,5,0,0
Utah Jazz,2,0,0
Washington Wizards,4,0,0
